City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port hedland,87,CD,1567823576,43,-7.04,29.76,64.95,3.2
nanakuli,1,US,1567823576,58,21.39,-158.15,91.4,16.11
san patricio,4,ML,1567822844,70,13.3,-4.9,79.64,7.85
tasiilaq,100,GL,1567823134,80,65.61,-37.64,41.0,27.51
karratha,0,AU,1567823373,26,-20.74,116.85,79.89,7.72
belaya gora,0,RU,1567823577,95,51.06,35.71,58.04,6.17
nanortalik,100,GL,1567823222,82,60.14,-45.24,44.73,8.1
uravakonda,100,IN,1567823577,75,14.95,77.26,77.19,17.47
adrar,40,DZ,1567823085,35,27.87,-0.29,84.2,11.41
huarmey,100,PE,1567823203,90,-10.07,-78.15,59.89,15.19
zapolyarnyy,100,RU,1567823578,81,69.43,30.82,48.2,24.16
zhigansk,100,RU,1567823579,82,66.77,123.37,51.86,17.49
kapaa,40,US,1567823148,62,22.08,-159.32,89.6,16.11
banjar,66,ID,1567823262,56,-7.37,108.54,81.38,5.55
tazmalt,40,DZ,1567823579,64,36.39,4.4,75.2,6.93
kaabong,86,UG,1567823580,82,3.51,34.14,64.08,1.48
ivanteyevka,40,RU,1567823343,100,55.97,37.92,60.8,2.24
bambanglipuro,68,ID,1567823580,79,-7.95,110.28,76.07,17.29
atuona,100,PF,1567823156,71,-9.8,-139.03,79.17,8.25
navalcarnero,40,ES,1567823439,44,40.29,-4.01,66.0,5.82
katsuura,75,JP,1567823141,79,33.93,134.5,89.6,12.75
sobolevo,63,RU,1567823138,94,54.43,31.9,51.16,5.88
mahebourg,40,MU,1567823179,94,-20.41,57.7,70.0,4.7
faya,0,SA,1567823203,32,18.39,42.45,71.6,5.3
aberdeen,90,US,1567823582,88,46.98,-123.82,64.99,6.93
dordrecht,20,NL,1567823327,100,51.8,4.68,57.99,4.7
iroquois falls,100,CA,1567823583,93,44.85,-75.31,63.0,7.85
tocopilla,24,CL,1567823199,81,-22.09,-70.2,57.26,8.14
lashio,99,MM,1567823583,76,22.93,97.75,78.61,0.92
morgan city,75,US,1567823584,49,41.04,-111.68,77.0,3.36
hirado,90,JP,1567823584,100,33.32,129.49,80.6,25.28
constitucion,90,MX,1567823584,93,23.99,-104.67,66.99,2.24
yulara,0,AU,1567823239,16,-25.24,130.99,69.8,13.87
whitianga,8,NZ,1567823585,63,-36.83,175.7,56.51,12.44
fairbanks,1,US,1567823216,42,64.84,-147.72,64.4,1.81
avarua,1,CK,1567823055,69,-21.21,-159.78,77.0,19.46
sitka,0,US,1567823209,73,37.17,-99.65,80.01,8.01
port elizabeth,87,CD,1567823168,43,-7.04,29.76,64.95,3.2
kruisfontein,5,ZA,1567823144,68,-34.0,24.73,52.4,7.31
hamilton,75,CA,1567823275,93,43.26,-79.87,62.01,4.7
margate,75,AU,1567823587,76,-43.03,147.26,50.0,18.34
panama city,20,PA,1567823587,94,8.97,-79.53,82.0,3.36
balaipungut,13,ID,1567823587,60,1.11,101.31,86.98,5.93
upernavik,0,GL,1567823149,64,72.79,-56.15,36.13,11.65
dabhol,100,IN,1567823588,83,17.6,73.17,81.35,21.68
omsukchan,100,RU,1567823588,95,62.53,155.8,37.21,3.94
narsaq,100,GL,1567823136,46,60.91,-46.05,50.0,4.7
san quintin,4,ML,1567823185,70,13.3,-4.9,79.64,7.85
new norfolk,100,LR,1567823137,90,6.65,-10.59,76.2,5.64
castro,75,CL,1567823144,100,-42.48,-73.76,44.6,1.88
wanlaweyn,76,SO,1567823589,75,2.62,44.89,74.58,13.69
tuktoyaktuk,20,CA,1567823142,67,69.44,-133.03,60.8,8.05
praia da vitoria,0,BR,1567823493,68,-20.25,-43.81,66.2,10.29
vaini,90,IN,1567823132,100,15.34,74.49,69.8,11.41
birjand,0,IR,1567823370,33,32.86,59.22,57.2,9.17
tautira,75,PF,1567823153,44,-17.73,-149.15,78.8,9.17
maldonado,90,UY,1567823189,93,-34.91,-54.96,55.4,17.22
bara,100,NG,1567823591,91,10.41,10.6,73.32,2.17
cidreira,91,BR,1567823160,90,-30.17,-50.22,60.79,14.74
labuhan,0,ID,1567823591,45,-2.54,115.51,92.74,3.29
saskylakh,99,RU,1567823190,84,71.97,114.09,42.79,5.57
ojinaga,1,US,1567823592,45,29.56,-104.41,87.8,19.46
sahuaripa,100,MX,1567823592,94,29.05,-109.23,72.71,7.11
mar del plata,100,CN,1567823145,78,29.86,90.73,43.76,4.85
kodiak,1,US,1567823165,82,39.95,-94.76,69.01,8.05
bredasdorp,0,ZA,1567823146,93,-34.53,20.04,57.0,3.36
mokrous,92,RU,1567823595,59,51.24,47.51,60.09,8.34
pisco,40,PE,1567823259,82,-13.71,-76.2,61.0,12.75
hilo,40,US,1567823163,62,19.71,-155.08,86.0,6.93
casablanca,0,MA,1567823462,100,33.6,-7.62,73.0,5.82
colon,75,PH,1567823597,55,10.22,123.75,87.8,14.99
olga,1,US,1567823597,57,34.11,-118.17,89.6,5.82
foshan,0,CN,1567823597,66,23.02,113.11,95.0,2.24
butaritari,12,KI,1567823133,68,3.07,172.79,84.89,8.03
grand river south east,0,FR,1567823174,54,48.39,5.49,53.6,5.82
san cristobal,4,ML,1567823257,70,13.3,-4.9,79.64,7.85
strezhevoy,90,RU,1567823420,87,60.73,77.6,50.0,6.71
vao,98,EE,1567823247,92,59.1,26.19,47.52,6.26
hualmay,72,PE,1567823245,89,-11.1,-77.61,59.67,13.18
port lincoln,87,CD,1567823599,43,-7.04,29.76,64.95,3.2
kahului,40,US,1567823206,46,20.89,-156.47,89.6,24.16
takoradi,88,GH,1567823599,97,4.89,-1.75,72.96,3.29
newport beach,90,US,1567823600,93,41.49,-71.31,64.0,17.22
verkhnyaya inta,23,RU,1567823600,97,60.98,40.21,48.96,3.69
auki,72,NG,1567823600,88,12.18,6.51,73.95,5.77
biskamzha,40,RU,1567823279,54,53.45,89.53,55.89,2.89
punta arenas,40,PH,1567823154,70,14.18,121.12,87.01,11.41
chistoye,0,RU,1567823601,100,56.54,43.0,50.0,4.47
namatanai,100,PG,1567823279,80,-3.66,152.44,78.02,19.44
nizhnyaya poyma,6,RU,1567823260,98,63.47,41.61,49.81,5.73
souillac,0,FR,1567823127,87,45.6,-0.6,55.4,3.36
tiksi,100,RU,1567823208,79,71.64,128.87,40.2,9.15
codrington,90,AU,1567823140,18,-28.95,153.24,75.0,19.46
nago,97,IT,1567823602,93,45.88,10.89,66.2,3.36
lagoa,0,PT,1567823175,83,37.14,-8.45,77.0,8.05
kirovsk,0,RU,1567823602,88,67.62,33.66,43.71,10.09
pringsewu,79,ID,1567823603,54,-5.36,104.98,82.77,5.82
maasin,27,PH,1567823603,74,10.89,122.43,84.5,10.27
albany,90,US,1567823138,63,42.65,-73.75,63.0,5.82
alta floresta,100,NO,1567823603,81,69.97,23.27,48.2,14.99
vardo,40,US,1567823207,64,39.62,-77.74,68.0,4.7
carnarvon,0,ZA,1567823147,40,-30.97,22.13,54.06,13.18
mayumba,100,GA,1567823604,86,-3.44,10.65,73.97,8.7
ornskoldsvik,33,SE,1567823604,100,63.29,18.72,42.8,3.36
mahibadhoo,85,MV,1567823605,71,3.78,72.97,83.33,3.83
provideniya,85,RU,1567823221,67,64.42,-173.23,50.06,8.03
maragogi,0,BR,1567823240,94,-9.01,-35.22,67.22,4.18
yeniseysk,20,RU,1567823180,50,58.45,92.17,56.29,1.43
sungaipenuh,0,ID,1567823606,64,-2.08,101.38,84.44,3.76
eston,90,CA,1567823606,51,51.15,-108.75,62.6,6.93
abu zabad,75,JP,1567823606,58,34.51,131.49,87.8,21.92
jamestown,100,AU,1567823166,64,-33.21,138.6,51.5,16.11
north branch,100,NG,1567823607,97,4.97,7.66,72.22,1.45
coffeyville,1,US,1567823607,78,37.04,-95.62,81.0,6.93
lucapa,13,AO,1567823607,54,-8.42,20.74,72.0,4.34
mgandu,0,TZ,1567823607,55,-5.96,34.11,61.37,16.2
siloam springs,1,US,1567823608,41,33.54,-83.08,80.6,3.71
hun,75,BE,1567823608,93,50.34,4.87,55.99,6.93
chuy,100,UY,1567823185,97,-33.69,-53.46,54.6,13.11
goderich,97,CA,1567823608,87,43.74,-81.71,61.0,10.0
xuddur,99,SO,1567823609,74,4.12,43.89,71.34,21.59
coquimbo,0,CL,1567822972,87,-29.95,-71.34,53.6,5.82
palu,4,ID,1567823504,68,-0.9,119.87,85.22,6.29
nouadhibou,0,MR,1567823610,78,20.93,-17.03,71.6,12.75
chabahar,100,IR,1567823421,78,25.29,60.65,78.8,4.29
dubai,0,AE,1567823599,66,25.27,55.3,89.6,4.7
bethel,90,US,1567823167,82,60.79,-161.76,57.2,11.41
ponta do sol,78,BR,1567823157,96,-0.53,-65.05,72.76,2.73
pontianak,0,ID,1567823611,72,-0.02,109.34,80.36,6.15
champerico,90,MX,1567823611,73,16.38,-93.6,75.2,12.75
lebu,80,ET,1567823273,87,8.96,38.73,53.5,2.1
miri,81,NG,1567823276,95,10.31,9.75,69.61,4.52
sibolga,76,ID,1567823193,79,1.74,98.78,81.42,8.23
pochutla,40,MX,1567823216,65,15.74,-96.47,82.4,5.3
chipinge,100,ZW,1567823613,88,-20.19,32.62,55.98,13.42
nikolskoye,0,RU,1567823137,87,59.7,30.79,50.0,4.47
sola,28,TZ,1567823449,54,-3.17,33.8,67.92,9.17
sioux lookout,1,US,1567823230,93,46.74,-90.88,64.0,10.31
iqaluit,75,CA,1567823127,81,63.75,-68.52,44.6,6.93
dongsheng,0,CN,1567823615,55,29.72,112.52,85.23,4.16
margasari,99,ID,1567823615,76,-1.24,116.82,79.29,3.42
hirara,75,JP,1567823263,83,24.8,125.28,78.8,27.51
sinnamary,61,GF,1567823615,82,5.38,-52.96,81.4,13.53
marawi,100,PH,1567823615,60,8.0,124.29,83.63,6.73
nabire,90,ID,1567823616,56,-3.36,135.5,83.69,7.34
harper,1,US,1567823616,51,30.3,-99.24,86.0,10.6
hasaki,40,JP,1567823146,66,35.73,140.83,89.6,6.93
chinhoyi,0,ZW,1567823617,84,-17.36,30.19,52.17,6.13
bubaque,100,GW,1567823617,81,11.28,-15.83,81.2,12.37
komsomolskiy,100,RU,1567823167,80,67.55,63.78,54.38,14.83
saint-joseph,0,FR,1567823138,93,43.56,6.97,64.4,3.36
kloulklubed,75,PW,1567823206,74,7.04,134.26,86.0,13.87
poum,40,MK,1567823618,72,41.28,20.71,64.4,9.17
prince rupert,1,CA,1567823619,62,52.97,-108.38,57.99,9.17
chute-aux-outardes,1,CA,1567823619,100,49.12,-68.38,44.6,2.24
waipawa,100,NZ,1567823145,59,-39.94,176.59,55.99,7.0
sao joao da barra,99,IN,1567823619,91,20.51,76.21,73.95,6.4
esso,76,RU,1567823620,72,55.93,158.7,49.04,8.88
saint-georges,100,CA,1567823620,100,46.12,-70.67,57.0,4.25
port augusta,87,CD,1567823176,43,-7.04,29.76,64.95,3.2
trapani,40,IT,1567823621,78,38.02,12.54,73.4,10.29
thompson,40,CA,1567823227,93,55.74,-97.86,44.6,3.36
padang,74,ID,1567823621,81,-0.92,100.36,80.66,12.28
nokaneng,30,BW,1567823622,35,-19.66,22.19,66.01,14.76
southbridge,90,US,1567823622,87,42.08,-72.03,63.0,11.41
bakonycsernye,89,HU,1567823622,93,47.32,18.09,59.0,5.82
mikhaylovka,99,RU,1567823622,79,52.96,103.29,46.3,13.71
qaanaaq,0,GL,1567823140,63,77.48,-69.36,24.75,7.29
norman wells,1,US,1567823227,51,35.22,-97.44,87.01,6.93
bambous virieux,40,MU,1567823139,94,-20.26,57.41,70.0,4.7
manyana,0,AU,1567823623,33,-35.26,150.51,62.01,31.09
bozeman,90,US,1567823561,87,45.68,-111.04,57.99,5.82
pontes e lacerda,0,BR,1567823624,30,-7.27,-48.27,78.79,5.39
airai,0,TL,1567823158,52,-8.93,125.41,81.62,7.18
srednekolymsk,76,RU,1567823256,52,67.46,153.71,47.06,6.02
marialva,0,BR,1567823624,68,-23.48,-51.8,71.01,10.29
bilibino,90,RU,1567823252,57,68.06,166.44,48.96,0.74
honiara,75,SB,1567823625,62,-9.43,159.96,87.8,9.17
berezniki,0,RU,1567823625,100,59.41,56.8,42.01,0.58
khotiv,54,UA,1567823615,100,50.33,30.47,60.01,4.09
kieta,100,PG,1567823626,65,-6.22,155.63,82.82,3.15
taldan,97,RU,1567823626,86,53.69,124.82,57.57,7.65
makakilo city,40,US,1567823275,49,21.35,-158.09,91.4,10.29
byron bay,1,US,1567823627,88,32.65,-83.76,80.6,6.87
bealanana,12,MG,1567823627,70,-14.54,48.75,56.67,8.19
kuzedeyevo,100,RU,1567823627,65,53.33,87.2,55.7,5.59
riyadh,0,SA,1567823352,23,24.63,46.72,84.2,2.24
anadyr,40,RU,1567823206,71,64.73,177.51,51.8,11.18
berlevag,100,NO,1567823628,89,70.86,29.09,46.46,29.1
bath,26,GB,1567823496,87,51.38,-2.36,57.0,4.7
port blair,87,CD,1567823176,43,-7.04,29.76,64.95,3.2
westport,90,US,1567823629,77,41.14,-73.36,64.0,20.8
madang,44,CN,1567823630,70,35.32,102.79,54.74,3.65
idenao,20,CM,1567823630,94,4.25,9.0,75.2,4.7
kavieng,100,PG,1567823164,76,-2.57,150.8,81.31,13.78
amapa,75,HN,1567823188,78,15.09,-87.97,82.4,4.7
constantine,20,DZ,1567823608,87,36.36,6.61,60.8,2.24
puerto ayora,20,AR,1567823142,100,-51.62,-69.23,28.4,3.36
kirakira,76,SB,1567823631,81,-10.46,161.92,79.8,17.76
lorengau,52,PG,1567823166,71,-2.02,147.27,83.18,11.16
sambava,100,MG,1567823394,76,-14.27,50.17,68.06,3.83
vila,0,IT,1567823632,100,45.18,8.4,60.01,2.24
oytal,0,KZ,1567823632,31,42.91,73.27,59.85,3.58
hovd,90,NO,1567823171,100,63.83,10.7,48.99,2.59
talnakh,90,RU,1567823172,100,69.49,88.39,48.2,11.18
arraial do cabo,0,BR,1567823146,82,-22.84,-46.65,69.01,12.75
kjollefjord,100,NO,1567823633,85,70.95,27.35,44.97,26.69
tateyama,40,JP,1567823634,46,36.66,137.31,95.0,8.05
lazaro cardenas,75,MX,1567823634,70,29.05,-111.04,91.4,5.82
marsh harbour,40,GB,1567823634,87,53.65,-1.81,55.99,12.75
bucerias,90,MX,1567823634,70,20.76,-105.33,87.8,4.7
noumea,0,NC,1567823223,53,-22.28,166.46,77.0,9.17
klaksvik,78,FO,1567823261,70,62.23,-6.59,44.6,4.7
kavaratti,100,IN,1567823635,78,10.57,72.64,82.82,21.14
zelenogorskiy,0,RU,1567823635,66,55.03,87.0,55.4,4.47
lata,14,IN,1567823636,76,30.78,78.62,49.07,4.68
dingle,27,PH,1567823188,64,11.0,122.67,87.41,12.91
rio grande,1,US,1567823002,87,41.11,-90.4,66.99,4.7
hobyo,80,SO,1567823274,78,5.35,48.53,75.41,18.14
ancud,75,CL,1567823145,100,-41.87,-73.83,44.6,5.08
achinsk,0,RU,1567823410,57,56.27,90.5,53.82,7.85
pevek,100,RU,1567823134,88,69.7,170.27,38.99,9.78
sokoni,0,CD,1567823638,53,-12.89,28.78,53.25,7.99
aklavik,20,CA,1567823156,48,68.22,-135.01,62.6,5.82
leh,0,IN,1567823638,34,34.16,77.58,45.35,3.6
victoria,75,BN,1567822944,88,5.28,115.24,87.8,1.12
bloomingdale,90,US,1567823639,72,41.96,-88.08,66.99,14.99
tadine,1,NC,1567823639,62,-21.55,167.88,71.45,8.08
severo-kurilsk,0,RU,1567823126,88,50.68,156.12,51.2,15.61
kununurra,0,AU,1567823640,45,-15.77,128.74,87.8,4.7
itarema,41,BR,1567823220,75,-2.92,-39.92,77.55,10.33
torbay,40,CA,1567823192,81,47.66,-52.73,55.99,11.41
tongchuan,0,CN,1567823416,54,34.9,108.95,80.6,11.18
wahiawa,1,US,1567823641,58,21.5,-158.02,91.4,16.11
ust-barguzin,22,RU,1567823641,75,53.41,109.03,51.47,4.81
conway,40,US,1567823641,83,35.09,-92.44,82.4,4.36
meulaboh,36,ID,1567823251,79,4.14,96.13,82.19,10.92
tallahassee,1,US,1567823505,94,30.44,-84.28,78.01,3.36
zheleznodorozhnyy,0,RU,1567823642,87,55.75,38.0,60.8,6.71
chokurdakh,99,RU,1567823159,82,70.62,147.9,44.28,1.34
udachnyy,90,RU,1567823152,76,66.42,112.4,48.2,13.42
rodez,0,FR,1567823402,75,44.35,2.57,50.0,3.36
miraflores,0,PE,1567823643,20,-16.39,-71.52,55.4,4.7
san carlos de bariloche,4,ML,1567823185,70,13.3,-4.9,79.64,7.85
palana,99,RU,1567823643,92,59.08,159.95,50.08,14.14
abu samrah,75,JP,1567823219,58,34.51,131.49,87.8,21.92
namtsy,0,RU,1567823644,47,62.72,129.66,57.2,13.42
misterbianco,0,IT,1567823644,94,37.52,15.01,73.4,6.93
creel,100,MX,1567823644,93,27.75,-107.63,60.14,0.11
kautokeino,98,NO,1567823645,88,69.01,23.04,39.69,7.61
soyaux,0,FR,1567823645,76,45.64,0.19,55.4,3.36
salaga,100,GH,1567823645,94,8.55,-0.52,70.37,10.16
puerto colombia,20,AR,1567823645,100,-51.62,-69.23,28.4,3.36
vuktyl,90,RU,1567823484,77,63.86,57.31,54.53,10.69
benavente,0,ES,1567823646,56,42.0,-5.67,44.6,3.36
jieshi,0,CN,1567823647,73,22.82,115.83,90.0,4.81
yining,0,CN,1567823647,43,29.04,114.56,90.35,2.06
bonthe,99,SL,1567823647,92,7.53,-12.5,75.8,5.66
rodrigues alves,77,BR,1567823648,97,-24.07,-48.35,55.82,3.87
kalianget,20,ID,1567823648,42,-7.35,109.91,86.0,8.05
pimentel,0,BR,1567823648,86,-3.7,-45.5,74.25,3.51
hashtrud,0,IR,1567823405,90,37.48,47.05,53.91,2.73
fortuna,40,ES,1567823202,73,38.18,-1.13,77.0,6.93
longyearbyen,75,NO,1567823178,69,78.22,15.63,33.8,10.29
tres arroyos,90,IT,1567823649,93,46.32,11.1,57.99,9.17
gedo,77,ET,1567823650,98,9.01,37.45,55.41,0.36
ust-nera,77,RU,1567823650,44,64.57,143.24,43.17,4.43
pinhao,100,BR,1567823650,99,-25.7,-51.66,56.94,3.53
ribeira grande,0,PT,1567823126,72,41.76,-8.56,68.0,4.7
goure,99,NE,1567823651,81,13.98,10.27,75.0,4.0
choix,100,MX,1567823651,93,26.71,-108.33,73.53,0.43
boa vista,98,CM,1567823183,87,4.43,8.97,77.42,6.49
dwarka,40,IN,1567823174,83,28.58,77.04,90.0,6.93
caravelas,100,BR,1567823222,80,-17.73,-39.27,72.31,15.32
ilulissat,81,GL,1567823161,69,69.22,-51.1,35.6,1.12
yacuiba,98,AR,1567823653,83,-22.01,-63.68,58.27,2.06
rochegda,60,RU,1567823653,98,62.67,43.41,50.17,4.21
zhanaozen,93,KZ,1567823653,25,43.35,52.85,63.11,8.14
foz,74,ES,1567823653,1,43.57,-7.26,60.01,5.84
tutoia,4,BR,1567823654,89,-2.76,-42.27,73.77,5.84
vestmannaeyjar,100,IS,1567823654,92,63.44,-20.27,50.78,26.93
buzmeyin,0,TM,1567823654,45,38.05,58.21,62.6,6.93
aden,68,YE,1567823486,71,12.79,45.03,85.43,9.13
santa ines,41,PH,1567823655,81,17.49,120.43,83.69,22.57
bathsheba,20,BB,1567823208,94,13.22,-59.52,77.0,4.7
yaan,63,NG,1567823274,92,7.38,8.57,74.2,4.88
likasi,0,CD,1567823656,45,-10.99,26.74,57.21,8.84
avera,1,US,1567823154,64,33.19,-82.53,78.8,4.7
egvekinot,100,RU,1567823214,52,66.32,-179.17,50.35,1.63
portland,90,US,1567823276,67,43.66,-70.25,59.0,8.05
nichinan,75,JP,1567823657,79,31.65,131.31,86.0,11.41
bhakkar,0,PK,1567823657,27,31.63,71.07,96.99,2.59
basoko,64,CD,1567823657,98,1.23,23.61,69.47,1.23
zaysan,100,KZ,1567823658,40,47.47,84.87,61.01,1.14
mumford,95,GH,1567823658,98,5.26,-0.76,72.22,2.35
west wendover,1,US,1567823659,43,31.8,-97.09,89.01,5.82
khorramshahr,0,IR,1567823659,37,30.43,48.18,86.0,6.93
qena,0,EG,1567823660,42,26.16,32.72,84.2,4.81
fort nelson,100,IN,1567823130,93,17.96,79.61,73.23,14.12
vostok,100,RU,1567823660,81,46.45,135.83,71.37,2.46
andreapol,0,RU,1567823660,94,56.65,32.27,47.27,1.74
kushiro,75,JP,1567823661,82,43.11,144.15,68.0,3.36
filadelfia,100,PY,1567823644,41,-22.35,-60.04,82.23,9.04
timmins,90,CA,1567823661,100,48.48,-81.33,53.6,2.24
mount gambier,40,GB,1567823184,87,53.66,-1.85,55.99,12.75
qasigiannguit,84,GL,1567823661,69,68.82,-51.19,35.6,1.12
invermere,100,CA,1567823662,84,50.51,-116.03,57.99,4.92
hithadhoo,67,MV,1567823154,75,-0.6,73.08,83.36,14.12
lardos,20,GR,1567823524,88,36.09,28.02,75.2,12.75
arman,43,RU,1567823662,60,59.7,150.17,54.15,4.23
taoudenni,11,ML,1567823207,29,22.68,-3.98,90.87,15.9
pagudpud,75,PH,1567823663,94,18.56,120.79,80.6,11.41
buala,100,SB,1567823200,74,-8.15,159.59,83.51,9.91
uyuni,7,BO,1567823442,50,-20.46,-66.82,43.64,6.64
san ignacio,4,ML,1567823664,70,13.3,-4.9,79.64,7.85
lekoni,84,GA,1567823665,83,-1.58,14.26,73.14,5.06
tevaitoa,54,PF,1567823665,74,-16.78,-151.5,74.0,22.46
khor,100,RU,1567823665,81,47.88,134.96,75.14,4.61
grand gaube,0,FR,1567823202,54,48.39,5.49,53.6,5.82
vila franca do campo,0,IT,1567823248,100,45.18,8.4,60.01,2.24
yabelo,100,ET,1567823666,74,4.89,38.09,63.65,9.19
dikson,100,RU,1567823190,94,73.51,80.55,42.72,29.82
ratodero,42,PK,1567823666,79,27.8,68.29,87.8,9.69
georgetown,20,GY,1567822923,78,6.8,-58.16,82.4,6.93
vangaindrano,98,MG,1567823667,89,-23.35,47.6,61.69,10.94
wuan,0,CN,1567823667,36,31.68,112.0,89.03,1.5
piacabucu,17,BR,1567823667,86,-10.41,-36.43,73.46,11.59
dunlop,75,AU,1567823667,46,-35.19,149.02,51.01,28.86
urusha,100,RU,1567823668,76,54.05,122.9,55.08,10.56
chifeng,2,CN,1567823264,46,42.27,118.96,75.1,8.77
caracuaro,100,MX,1567823669,84,19.01,-101.13,67.43,4.05
mezibori,100,CZ,1567823669,81,50.62,13.6,57.2,2.24
cabo san lucas,65,ES,1567823133,93,43.18,-5.8,57.0,1.12
kedgwick,79,CA,1567823669,85,47.65,-67.35,41.82,2.44
yinchuan,78,CN,1567823670,51,38.48,106.21,76.22,4.09
bafra,75,TR,1567823670,64,41.57,35.91,72.0,9.17
dyurtyuli,100,RU,1567823670,90,55.49,54.86,47.69,5.53
peniche,0,PT,1567823671,82,39.36,-9.38,71.6,1.12
canmore,75,CA,1567823671,71,51.09,-115.35,57.2,9.17
okhotsk,100,RU,1567823152,35,59.36,143.24,60.83,2.19
nizwa,83,OM,1567823181,27,22.93,57.53,86.75,0.74
sladkovo,78,RU,1567823672,91,55.53,70.34,51.97,13.76
mandera,99,ET,1567823672,65,3.94,41.86,73.44,9.24
waingapu,0,ID,1567823193,57,-9.65,120.26,82.16,14.14
pogranichnyy,100,RU,1567823673,97,44.41,131.38,67.22,3.04
eydhafushi,100,MV,1567823673,74,5.1,73.07,83.67,9.17
puerto penasco,20,AR,1567823673,100,-51.62,-69.23,28.4,3.36
keti bandar,40,AM,1567823674,82,40.87,43.84,55.4,2.24
lincoln,75,GB,1567823403,87,53.23,-0.54,55.4,6.93
east london,28,UG,1567823200,97,3.43,31.7,64.98,0.25
dudinka,90,RU,1567823674,100,69.41,86.18,48.2,11.18
williston,20,US,1567823675,56,48.15,-103.62,69.8,9.17
ventspils,0,LV,1567823625,93,57.39,21.56,53.6,4.7
longfeng,75,CN,1567823675,94,31.05,103.87,82.99,3.09
dunedin,79,NZ,1567823041,53,-45.87,170.5,51.01,15.01
toora-khem,0,RU,1567823676,50,52.47,96.11,55.37,1.61
yatou,75,CM,1567823676,100,3.63,9.81,75.2,2.24
zhuhai,0,CN,1567823676,33,40.71,112.04,77.0,4.47
imeni poliny osipenko,94,NG,1567823676,99,7.32,5.96,69.21,2.84
nizhniy tsasuchey,40,RU,1567823677,100,45.39,39.24,64.0,4.47
yenagoa,97,NG,1567823271,96,4.92,6.26,72.78,2.46
esperance,0,AU,1567823156,44,-33.86,121.89,60.8,8.05
oriximina,46,BR,1567823277,64,-1.77,-55.87,82.3,4.61
ahipara,64,NZ,1567823208,86,-35.17,173.16,62.01,15.93
rovaniemi,0,FI,1567823678,100,66.5,25.72,37.4,9.17
peabiru,0,BR,1567823678,68,-23.91,-52.35,71.01,10.29
qaqortoq,100,GL,1567823196,46,60.72,-46.03,50.0,4.7
chapais,1,CA,1567823679,81,49.78,-74.86,46.4,4.7
dhemaji,75,IN,1567823680,88,27.48,94.56,82.4,8.05
guadalupe y calvo,20,MX,1567823680,78,25.68,-100.26,80.6,6.93
mwene-ditu,9,CD,1567823680,62,-7.01,23.45,71.54,2.37
salym,27,RU,1567823239,78,60.06,71.48,49.67,4.32
carutapera,40,BR,1567823681,84,-1.2,-46.02,76.86,4.21
faanui,3,PF,1567823184,72,-16.48,-151.75,75.08,21.07
pangnirtung,0,CA,1567823269,65,66.15,-65.72,33.18,3.67
port moresby,87,CD,1567823129,43,-7.04,29.76,64.95,3.2
tuatapere,75,NZ,1567823181,69,-46.13,167.69,50.0,10.0
laguna,90,BZ,1567823183,88,16.17,-88.94,77.0,6.93
mitu,0,IR,1567823682,41,36.2,46.09,55.07,1.74
natal,0,BR,1567823498,83,-5.81,-35.21,73.4,10.29
touros,20,BR,1567823205,88,-5.2,-35.46,73.4,8.05
